SampleID,Target [1 for A->B; -1 otherwise],Details [1 for A->B; 2 for A<-B; 3 for A-B; 4 for A|B]
train987,0,4
train988,-1,2
train989,-1,2
train990,0,3
train991,1,1
train992,0,4
train993,-1,2
train994,1,1
train995,0,4
train996,-1,2
train997,0,4
train998,1,1
train999,0,3
train1000,0,4
train1001,0,4
train1002,0,3
train1003,0,4
train1004,-1,2
train1005,0,4
train1006,0,4
train1007,1,1
train1008,1,1
train1009,0,4
train1010,0,3
train1011,0,3
train1012,0,4
train1013,0,3
train1014,0,3
train1015,0,3
train1016,-1,2
train1017,0,3
train1018,0,3
train1019,0,4
train1020,0,4
train1021,0,3
train1022,0,3
train1023,-1,2
train1024,0,3
train1025,0,3
train1026,0,3
train1027,0,3
train1028,1,1
train1029,0,3
train1030,0,3
train1031,0,4
train1032,0,4
train1033,0,4
train1034,1,1
train1035,0,4
train1036,1,1
train1037,-1,2
train1038,-1,2
train1039,-1,2
train1040,-1,2
train1041,0,3
train1042,-1,2
train1043,0,4
train1044,0,3
train1045,-1,2
train1046,-1,2
train1047,-1,2
train1048,0,3
train1049,-1,2
train1050,0,4
train1051,0,4
train1052,-1,2
train1053,1,1
train1054,0,4
train1055,-1,2
train1056,1,1
train1057,0,4
train1058,0,3
train1059,1,1
train1060,0,4
train1061,0,3
train1062,-1,2
train1063,0,3
train1064,0,3
train1065,1,1
train1066,1,1
train1067,0,3
train1068,0,3
train1069,0,4
train1070,0,4
train1071,1,1
train1072,0,4
train1073,-1,2
train1074,-1,2
train1075,0,4
train1076,0,3
train1077,0,3
train1078,0,4
train1079,0,3
train1080,1,1
train1081,0,4
train1082,1,1
train1083,1,1
train1084,-1,2
train1085,0,3
train1086,0,3
train1087,0,4
train1088,1,1
train1089,0,4
train1090,1,1
train1091,1,1
train1092,0,3
train1093,-1,2
train1094,0,3
train1095,1,1
train1096,1,1
train1097,1,1
train1098,0,4
train1099,0,3
train1100,0,4
train1101,1,1
train1102,0,3
train1103,1,1
train1104,-1,2
train1105,-1,2
train1106,0,3
train1107,0,4
train1108,0,3
train1109,-1,2
train1110,-1,2
train1111,0,3
train1112,0,4
train1113,1,1
train1114,0,4
train1115,-1,2
train1116,0,4
train1117,-1,2
train1118,0,4
train1119,1,1
train1120,0,3
train1121,0,3
train1122,0,4
train1123,0,3
train1124,0,3
train1125,1,1
train1126,1,1
train1127,0,4
train1128,1,1
train1129,0,4
train1130,0,3
train1131,0,3
train1132,0,3
train1133,-1,2
train1134,0,4
train1135,1,1
train1136,0,4
train1137,1,1
train1138,1,1
train1139,0,3
train1140,0,3
train1141,1,1
train1142,-1,2
train1143,0,4
train1144,-1,2
train1145,0,3
train1146,-1,2
train1147,1,1
train1148,1,1
train1149,0,3
train1150,1,1
train1151,0,3
train1152,0,3
train1153,0,4
train1154,0,4
train1155,0,4
train1156,1,1
train1157,1,1
train1158,-1,2
train1159,1,1
train1160,0,4
train1161,0,3
train1162,0,4
train1163,-1,2
train1164,0,3
train1165,0,4
train1166,0,4
train1167,0,3
train1168,0,4
train1169,1,1
train1170,0,3
train1171,0,3
train1172,1,1
train1173,0,4
train1174,-1,2
train1175,0,3
train1176,-1,2
train1177,-1,2
train1178,-1,2
train1179,0,3
train1180,0,3
train1181,1,1
train1182,0,4
train1183,1,1
train1184,-1,2
train1185,0,3
train1186,0,3
train1187,0,3
train1188,0,4
train1189,-1,2
train1190,0,4
train1191,0,3
train1192,-1,2
train1193,-1,2
train1194,0,4
train1195,-1,2
train1196,0,4
train1197,-1,2
train1198,0,4
train1199,1,1
train1200,-1,2
train1201,1,1
train1202,-1,2
train1203,0,4
train1204,0,4
train1205,1,1
train1206,0,3
train1207,0,3
train1208,1,1
train1209,0,3
train1210,1,1
train1211,1,1
train1212,0,4
train1213,0,4
train1214,0,3
train1215,1,1
train1216,-1,2
train1217,0,3
train1218,1,1
train1219,1,1
train1220,0,4
train1221,0,4
train1222,0,3
train1223,1,1
train1224,1,1
train1225,-1,2
train1226,0,4
train1227,1,1
train1228,-1,2
train1229,1,1
train1230,0,3
train1231,-1,2
train1232,0,4
train1233,0,3
train1234,0,4
train1235,1,1
train1236,-1,2
train1237,0,3
train1238,0,3
train1239,0,3
train1240,1,1
train1241,1,1
train1242,0,3
train1243,0,3
train1244,1,1
train1245,0,3
train1246,-1,2
train1247,1,1
train1248,-1,2
train1249,0,3
train1250,1,1
train1251,1,1
train1252,-1,2
train1253,0,3
train1254,1,1
train1255,1,1
train1256,1,1
train1257,0,3
train1258,1,1
train1259,-1,2
train1260,-1,2
train1261,-1,2
train1262,0,4
train1263,0,3
train1264,-1,2
train1265,1,1
train1266,1,1
train1267,-1,2
train1268,0,3
train1269,0,3
train1270,1,1
train1271,1,1
train1272,0,4
train1273,0,3
train1274,0,3
train1275,1,1
train1276,-1,2
train1277,0,3
train1278,0,3
train1279,0,3
train1280,0,4
train1281,1,1
train1282,0,3
train1283,0,4
train1284,1,1
train1285,0,4
train1286,-1,2
train1287,0,4
train1288,-1,2
train1289,-1,2
train1290,-1,2
train1291,-1,2
train1292,0,3
train1293,-1,2
train1294,-1,2
train1295,1,1
train1296,0,4
train1297,0,4
train1298,0,4
train1299,1,1
train1300,1,1
train1301,0,3
train1302,-1,2
train1303,-1,2
train1304,1,1
train1305,1,1
train1306,0,4
train1307,1,1
train1308,-1,2
train1309,0,3
train1310,0,4
train1311,0,3
train1312,0,3
train1313,0,4
train1314,0,4
train1315,1,1
train1316,0,4
train1317,0,3
train1318,1,1
train1319,0,4
train1320,-1,2
train1321,0,4
train1322,1,1
train1323,-1,2
train1324,-1,2
train1325,-1,2
train1326,0,4
train1327,0,3
train1328,-1,2
train1329,1,1
train1330,-1,2
train1331,-1,2
train1332,0,3
train1333,-1,2
train1334,0,4
train1335,0,4
train1336,1,1
train1337,1,1
train1338,-1,2
train1339,1,1
train1340,0,4
train1341,0,4
train1342,0,4
train1343,0,4
train1344,1,1
train1345,0,4
train1346,-1,2
train1347,-1,2
train1348,-1,2
train1349,1,1
train1350,0,3
train1351,0,4
train1352,0,3
train1353,0,4
train1354,1,1
train1355,-1,2
train1356,1,1
train1357,-1,2
train1358,0,3
train1359,-1,2
train1360,0,4
train1361,-1,2
train1362,0,3
train1363,-1,2
train1364,-1,2
train1365,0,3
train1366,-1,2
train1367,-1,2
train1368,0,4
train1369,0,3
train1370,0,3
train1371,1,1
train1372,1,1
train1373,1,1
train1374,0,4
train1375,1,1
train1376,0,3
train1377,0,4
train1378,0,3
train1379,-1,2
train1380,0,4
train1381,0,4
train1382,-1,2
train1383,0,3
train1384,0,4
train1385,0,3
train1386,0,4
train1387,-1,2
train1388,-1,2
train1389,0,3
train1390,0,4
train1391,-1,2
train1392,0,4
train1393,0,4
train1394,0,4
train1395,1,1
train1396,-1,2
train1397,0,3
train1398,-1,2
train1399,0,4
train1400,0,4
train1401,0,4
train1402,0,4
train1403,0,3
train1404,-1,2
train1405,0,4
train1406,0,3
train1407,1,1
train1408,1,1
train1409,0,4
train1410,0,4
train1411,-1,2
train1412,0,3
train1413,0,4
train1414,0,3
train1415,1,1
train1416,0,4
train1417,0,4
train1418,0,3
train1419,0,4
train1420,0,3
train1421,-1,2
train1422,-1,2
train1423,1,1
train1424,0,4
train1425,1,1
train1426,1,1
train1427,0,4
train1428,1,1
train1429,-1,2
train1430,1,1
train1431,0,4
train1432,1,1
train1433,0,3
train1434,-1,2
train1435,0,4
train1436,1,1
train1437,0,3
train1438,0,3
train1439,-1,2
train1440,0,3
train1441,-1,2
train1442,0,3
train1443,0,4
train1444,0,4
train1445,-1,2
train1446,-1,2
train1447,1,1
train1448,1,1
train1449,-1,2
train1450,1,1
train1451,1,1
train1452,-1,2
train1453,0,3
train1454,1,1
train1455,0,3
train1456,-1,2
train1457,0,4
train1458,1,1
train1459,0,3
train1460,1,1
train1461,0,4
train1462,0,3
train1463,1,1
train1464,0,4
train1465,-1,2
train1466,0,4
train1467,0,4
train1468,-1,2
train1469,1,1
train1470,1,1
train1471,0,3
train1472,0,3
train1473,0,3
train1474,0,3
train1475,0,3
train1476,0,3
train1477,-1,2
train1478,-1,2
train1479,0,3
train1480,0,3
train1481,-1,2
train1482,-1,2
train1483,0,3
train1484,-1,2
train1485,0,4
train1486,0,3
train1487,1,1
train1488,1,1
train1489,0,3
train1490,1,1
train1491,0,3
train1492,0,4
train1493,-1,2
train1494,0,3
train1495,-1,2
train1496,0,4
train1497,0,3
train1498,0,3
train1499,1,1
train1500,-1,2
train1501,0,4
train1502,0,4
train1503,1,1
train1504,0,4
train1505,1,1
train1506,0,4
train1507,0,4
train1508,1,1
train1509,-1,2
train1510,0,3
train1511,1,1
train1512,1,1
train1513,-1,2
train1514,0,4
train1515,0,3
train1516,1,1
train1517,0,3
train1518,0,3
train1519,0,4
train1520,0,3
train1521,-1,2
train1522,0,3
train1523,1,1
train1524,-1,2
train1525,1,1
train1526,0,3
train1527,0,4
train1528,-1,2
train1529,1,1
train1530,-1,2
train1531,1,1
train1532,0,3
train1533,0,4
train1534,-1,2
train1535,1,1
train1536,0,4
train1537,0,4
train1538,0,4
train1539,1,1
train1540,-1,2
train1541,0,4
train1542,0,3
train1543,0,4
train1544,0,3
train1545,-1,2
train1546,0,4
train1547,-1,2
train1548,-1,2
train1549,0,4
train1550,0,4
train1551,-1,2
train1552,-1,2
train1553,1,1
train1554,0,3
train1555,0,3
train1556,0,4
train1557,0,3
train1558,0,4
train1559,0,4
train1560,0,4
train1561,0,3
train1562,0,3
train1563,-1,2
train1564,-1,2
train1565,0,3
train1566,1,1
train1567,1,1
train1568,1,1
train1569,0,3
train1570,1,1
train1571,0,3
train1572,-1,2
train1573,0,4
train1574,-1,2
train1575,-1,2
train1576,1,1
train1577,0,3
train1578,0,4
train1579,0,3
train1580,0,4
train1581,0,4
train1582,1,1
train1583,1,1
train1584,-1,2
train1585,0,4
train1586,0,4
train1587,1,1
train1588,-1,2
train1589,0,4
train1590,1,1
train1591,0,4
train1592,1,1
train1593,0,4
train1594,0,4
train1595,0,3
train1596,1,1
train1597,0,4
train1598,1,1
train1599,0,4
train1600,-1,2
train1601,0,3
train1602,1,1
train1603,1,1
train1604,1,1
train1605,1,1
train1606,0,3
train1607,1,1
train1608,0,3
train1609,1,1
train1610,0,4
train1611,0,4
train1612,1,1
train1613,0,3
train1614,0,3
train1615,0,3
train1616,0,3
train1617,0,3
train1618,-1,2
train1619,-1,2
train1620,0,4
train1621,0,3
train1622,1,1
train1623,0,4
train1624,0,3
train1625,-1,2
train1626,-1,2
train1627,1,1
train1628,1,1
train1629,1,1
train1630,0,3
train1631,0,3
train1632,0,4
train1633,0,4
train1634,-1,2
train1635,-1,2
train1636,1,1
train1637,-1,2
train1638,1,1
train1639,-1,2
train1640,0,4
train1641,1,1
train1642,1,1
train1643,-1,2
train1644,0,4
train1645,0,4
train1646,0,4
train1647,-1,2
train1648,0,4
train1649,-1,2
train1650,-1,2
train1651,0,4
train1652,1,1
train1653,1,1
train1654,0,4
train1655,0,3
train1656,0,3
train1657,0,4
train1658,0,3
train1659,0,4
train1660,0,3
train1661,0,3
train1662,1,1
train1663,0,3
train1664,0,3
train1665,-1,2
train1666,1,1
train1667,1,1
train1668,-1,2
train1669,0,3
train1670,1,1
train1671,0,4
train1672,-1,2
train1673,0,3
train1674,0,4
train1675,0,4
train1676,1,1
train1677,1,1
train1678,0,3
train1679,0,4
train1680,-1,2
train1681,1,1
train1682,-1,2
train1683,-1,2
train1684,0,4
train1685,-1,2
train1686,0,4
train1687,1,1
train1688,1,1
train1689,0,4
train1690,0,3
train1691,1,1
train1692,1,1
train1693,1,1
train1694,-1,2
train1695,1,1
train1696,0,3
train1697,0,3
train1698,0,3
train1699,1,1
train1700,0,3
train1701,1,1
train1702,-1,2
train1703,0,4
train1704,0,3
train1705,-1,2
train1706,1,1
train1707,1,1
train1708,0,3
train1709,1,1
train1710,-1,2
train1711,0,3
train1712,-1,2
train1713,0,3
train1714,0,3
train1715,1,1
train1716,-1,2
train1717,0,3
train1718,-1,2
train1719,0,3
train1720,-1,2
train1721,0,3
train1722,0,4
train1723,0,3
train1724,0,4
train1725,-1,2
train1726,1,1
train1727,0,3
train1728,-1,2
train1729,0,4
train1730,-1,2
train1731,0,3
train1732,0,4
train1733,-1,2
train1734,-1,2
train1735,-1,2
train1736,-1,2
train1737,0,3
train1738,1,1
train1739,-1,2
train1740,1,1
train1741,1,1
train1742,-1,2
train1743,1,1
train1744,1,1
train1745,0,4
train1746,0,4
train1747,1,1
train1748,1,1
train1749,0,3
train1750,-1,2
train1751,0,3
train1752,0,4
train1753,1,1
train1754,0,4
train1755,0,3
train1756,0,4
train1757,0,3
train1758,-1,2
train1759,-1,2
train1760,-1,2
train1761,0,4
train1762,0,3
train1763,0,4
train1764,0,4
train1765,-1,2
train1766,-1,2
train1767,-1,2
train1768,0,4
train1769,-1,2
train1770,0,4
train1771,-1,2
train1772,1,1
train1773,-1,2
train1774,0,3
train1775,0,3
train1776,0,4
train1777,0,3
train1778,1,1
train1779,-1,2
train1780,1,1
train1781,1,1
train1782,-1,2
train1783,0,3
train1784,1,1
train1785,0,4
train1786,-1,2
train1787,0,4
train1788,1,1
train1789,1,1
train1790,-1,2
train1791,0,4
train1792,-1,2
train1793,0,3
train1794,0,4
train1795,0,4
train1796,1,1
train1797,-1,2
train1798,0,4
train1799,0,3
train1800,-1,2
train1801,0,4
train1802,1,1
train1803,-1,2
train1804,1,1
train1805,0,3
