SampleID,A type,B type
train128,Numerical,Categorical
train129,Binary,Binary
train130,Numerical,Numerical
train131,Numerical,Numerical
train132,Numerical,Numerical
train133,Numerical,Numerical
train134,Binary,Numerical
train135,Numerical,Numerical
train136,Categorical,Binary
train137,Binary,Numerical
train138,Numerical,Numerical
train139,Numerical,Numerical
train140,Numerical,Binary
train141,Numerical,Numerical
train142,Numerical,Binary
train143,Numerical,Numerical
train144,Numerical,Categorical
train145,Numerical,Numerical
train146,Numerical,Numerical
train147,Numerical,Binary
train148,Numerical,Numerical
train149,Categorical,Numerical
train150,Numerical,Numerical
train151,Binary,Numerical
train152,Numerical,Numerical
train153,Numerical,Numerical
train154,Numerical,Numerical
train155,Categorical,Numerical
train156,Numerical,Numerical
train157,Numerical,Numerical
train158,Numerical,Numerical
train159,Categorical,Categorical
train160,Categorical,Numerical
train161,Numerical,Numerical
train162,Numerical,Categorical
train163,Numerical,Numerical
train164,Numerical,Numerical
train165,Numerical,Numerical
train166,Numerical,Numerical
train167,Categorical,Numerical
train168,Numerical,Numerical
train169,Numerical,Numerical
train170,Numerical,Binary
train171,Numerical,Numerical
train172,Numerical,Numerical
train173,Numerical,Numerical
train174,Numerical,Numerical
train175,Numerical,Binary
train176,Numerical,Numerical
train177,Numerical,Binary
train178,Numerical,Numerical
train179,Numerical,Numerical
train180,Numerical,Binary
train181,Numerical,Numerical
train182,Numerical,Categorical
train183,Numerical,Binary
train184,Numerical,Numerical
train185,Categorical,Numerical
train186,Numerical,Numerical
train187,Binary,Categorical
train188,Numerical,Numerical
train189,Categorical,Numerical
train190,Numerical,Numerical
train191,Numerical,Numerical
train192,Numerical,Numerical
train193,Binary,Numerical
train194,Numerical,Numerical
train195,Numerical,Numerical
train196,Numerical,Numerical
train197,Numerical,Numerical
train198,Binary,Numerical
train199,Numerical,Numerical
train200,Numerical,Numerical
train201,Numerical,Numerical
train202,Numerical,Numerical
train203,Numerical,Categorical
train204,Numerical,Categorical
train205,Categorical,Numerical
train206,Numerical,Numerical
train207,Numerical,Numerical
train208,Numerical,Numerical
train209,Numerical,Numerical
train210,Categorical,Numerical
train211,Numerical,Numerical
train212,Numerical,Numerical
train213,Numerical,Numerical
train214,Numerical,Numerical
train215,Numerical,Categorical
train216,Categorical,Numerical
train217,Numerical,Categorical
train218,Numerical,Binary
train219,Numerical,Numerical
train220,Binary,Numerical
train221,Numerical,Numerical
train222,Numerical,Numerical
train223,Numerical,Numerical
train224,Numerical,Numerical
train225,Numerical,Numerical
train226,Numerical,Numerical
train227,Numerical,Numerical
train228,Binary,Numerical
train229,Numerical,Binary
train230,Numerical,Numerical
train231,Binary,Numerical
train232,Categorical,Numerical
train233,Binary,Categorical
train234,Categorical,Binary
train235,Numerical,Numerical
train236,Numerical,Categorical
train237,Categorical,Numerical
train238,Numerical,Numerical
train239,Numerical,Numerical
train240,Numerical,Numerical
train241,Numerical,Numerical
train242,Numerical,Numerical
train243,Numerical,Numerical
train244,Numerical,Numerical
train245,Numerical,Numerical
train246,Categorical,Numerical
train247,Categorical,Categorical
train248,Numerical,Categorical
train249,Categorical,Binary
train250,Numerical,Numerical
train251,Categorical,Categorical
train252,Numerical,Numerical
train253,Numerical,Numerical
train254,Binary,Numerical
train255,Numerical,Numerical
train256,Numerical,Categorical
train257,Binary,Numerical
train258,Numerical,Numerical
train259,Numerical,Categorical
train260,Binary,Binary
train261,Numerical,Numerical
train262,Numerical,Numerical
train263,Numerical,Categorical
train264,Numerical,Numerical
train265,Numerical,Categorical
train266,Numerical,Numerical
train267,Numerical,Numerical
train268,Numerical,Numerical
train269,Categorical,Numerical
train270,Numerical,Binary
train271,Numerical,Numerical
train272,Numerical,Numerical
train273,Binary,Numerical
train274,Numerical,Numerical
train275,Numerical,Numerical
train276,Numerical,Numerical
train277,Numerical,Binary
train278,Numerical,Numerical
train279,Numerical,Numerical
train280,Numerical,Numerical
train281,Numerical,Numerical
train282,Numerical,Numerical
train283,Numerical,Numerical
train284,Binary,Numerical
train285,Numerical,Numerical
train286,Binary,Numerical
train287,Numerical,Binary
train288,Numerical,Categorical
train289,Binary,Numerical
train290,Numerical,Categorical
train291,Numerical,Numerical
train292,Numerical,Numerical
train293,Numerical,Numerical
train294,Numerical,Numerical
train295,Numerical,Numerical
train296,Numerical,Numerical
train297,Numerical,Categorical
train298,Numerical,Numerical
train299,Categorical,Numerical
train300,Numerical,Binary
train301,Numerical,Numerical
train302,Numerical,Numerical
train303,Numerical,Numerical
train304,Numerical,Numerical
train305,Numerical,Numerical
train306,Numerical,Numerical
train307,Numerical,Categorical
train308,Numerical,Numerical
train309,Numerical,Numerical
train310,Categorical,Numerical
train311,Numerical,Categorical
train312,Numerical,Numerical
train313,Categorical,Numerical
train314,Numerical,Numerical
train315,Numerical,Numerical
train316,Numerical,Binary
train317,Numerical,Numerical
train318,Categorical,Numerical
train319,Categorical,Numerical
train320,Numerical,Numerical
train321,Numerical,Categorical
train322,Numerical,Numerical
train323,Binary,Numerical
train324,Numerical,Numerical
train325,Numerical,Categorical
train326,Numerical,Categorical
train327,Numerical,Numerical
train328,Numerical,Numerical
train329,Numerical,Binary
train330,Numerical,Categorical
train331,Numerical,Numerical
train332,Categorical,Categorical
train333,Numerical,Numerical
train334,Categorical,Categorical
train335,Categorical,Numerical
train336,Binary,Binary
train337,Numerical,Categorical
train338,Numerical,Numerical
train339,Numerical,Numerical
train340,Numerical,Binary
train341,Numerical,Numerical
train342,Numerical,Binary
train343,Numerical,Numerical
train344,Numerical,Numerical
train345,Categorical,Numerical
train346,Numerical,Numerical
train347,Numerical,Categorical
train348,Numerical,Categorical
train349,Binary,Categorical
train350,Numerical,Categorical
train351,Numerical,Numerical
train352,Numerical,Numerical
train353,Numerical,Categorical
train354,Numerical,Binary
train355,Binary,Numerical
train356,Numerical,Numerical
train357,Numerical,Numerical
train358,Numerical,Numerical
train359,Binary,Numerical
train360,Numerical,Numerical
train361,Numerical,Numerical
train362,Categorical,Numerical
train363,Numerical,Numerical
train364,Numerical,Categorical
train365,Binary,Numerical
train366,Binary,Numerical
train367,Numerical,Numerical
train368,Numerical,Numerical
train369,Numerical,Binary
train370,Numerical,Numerical
train371,Numerical,Numerical
train372,Numerical,Binary
train373,Numerical,Numerical
train374,Numerical,Numerical
train375,Numerical,Numerical
train376,Numerical,Numerical
train377,Numerical,Binary
train378,Numerical,Numerical
train379,Categorical,Binary
train380,Numerical,Numerical
train381,Numerical,Numerical
train382,Binary,Numerical
train383,Numerical,Numerical
train384,Numerical,Categorical
train385,Numerical,Numerical
train386,Numerical,Categorical
train387,Numerical,Binary
train388,Binary,Numerical
train389,Binary,Numerical
train390,Numerical,Categorical
train391,Numerical,Numerical
train392,Binary,Numerical
train393,Numerical,Numerical
train394,Numerical,Numerical
train395,Numerical,Numerical
train396,Numerical,Numerical
train397,Numerical,Binary
train398,Numerical,Categorical
train399,Numerical,Binary
train400,Numerical,Categorical
train401,Numerical,Numerical
train402,Numerical,Numerical
train403,Numerical,Numerical
train404,Numerical,Numerical
train405,Binary,Categorical
train406,Numerical,Categorical
train407,Numerical,Numerical
train408,Numerical,Numerical
train409,Categorical,Numerical
train410,Binary,Categorical
train411,Numerical,Numerical
train412,Numerical,Numerical
train413,Numerical,Binary
train414,Numerical,Numerical
train415,Numerical,Numerical
train416,Numerical,Numerical
train417,Numerical,Numerical
train418,Numerical,Numerical
train419,Binary,Numerical
train420,Categorical,Binary
train421,Numerical,Numerical
train422,Numerical,Numerical
train423,Numerical,Binary
train424,Numerical,Binary
train425,Numerical,Numerical
train426,Numerical,Numerical
train427,Binary,Numerical
train428,Numerical,Numerical
train429,Categorical,Categorical
train430,Numerical,Numerical
train431,Binary,Numerical
train432,Numerical,Categorical
train433,Numerical,Numerical
train434,Binary,Numerical
train435,Numerical,Numerical
train436,Numerical,Numerical
train437,Binary,Numerical
train438,Numerical,Numerical
train439,Categorical,Numerical
train440,Numerical,Categorical
train441,Numerical,Numerical
train442,Numerical,Numerical
train443,Numerical,Numerical
train444,Categorical,Categorical
train445,Binary,Numerical
train446,Binary,Numerical
train447,Numerical,Numerical
train448,Numerical,Numerical
train449,Numerical,Numerical
train450,Numerical,Numerical
train451,Categorical,Categorical
train452,Categorical,Numerical
train453,Numerical,Binary
train454,Numerical,Categorical
train455,Numerical,Numerical
train456,Numerical,Numerical
train457,Binary,Numerical
train458,Numerical,Numerical
train459,Numerical,Numerical
train460,Numerical,Numerical
train461,Numerical,Categorical
train462,Numerical,Numerical
train463,Numerical,Numerical
train464,Numerical,Numerical
train465,Categorical,Categorical
train466,Numerical,Numerical
train467,Numerical,Numerical
train468,Numerical,Categorical
train469,Binary,Numerical
train470,Numerical,Numerical
train471,Numerical,Numerical
train472,Numerical,Numerical
train473,Numerical,Numerical
train474,Numerical,Numerical
train475,Numerical,Numerical
train476,Numerical,Numerical
train477,Numerical,Numerical
train478,Numerical,Numerical
train479,Numerical,Numerical
train480,Numerical,Numerical
train481,Categorical,Categorical
train482,Numerical,Numerical
train483,Numerical,Categorical
train484,Numerical,Numerical
train485,Numerical,Numerical
train486,Numerical,Categorical
train487,Numerical,Numerical
train488,Numerical,Numerical
train489,Numerical,Numerical
train490,Categorical,Numerical
train491,Binary,Numerical
train492,Numerical,Numerical
train493,Numerical,Numerical
train494,Numerical,Numerical
train495,Numerical,Numerical
train496,Numerical,Numerical
train497,Numerical,Numerical
train498,Numerical,Numerical
train499,Numerical,Numerical
train500,Binary,Binary
train501,Numerical,Numerical
train502,Numerical,Numerical
train503,Numerical,Numerical
train504,Binary,Numerical
train505,Numerical,Categorical
train506,Numerical,Binary
train507,Binary,Numerical
train508,Numerical,Binary
train509,Numerical,Numerical
train510,Numerical,Numerical
train511,Numerical,Numerical
train512,Binary,Numerical
train513,Numerical,Numerical
train514,Numerical,Categorical
train515,Numerical,Binary
train516,Numerical,Numerical
train517,Numerical,Numerical
train518,Numerical,Numerical
train519,Numerical,Categorical
train520,Numerical,Numerical
train521,Numerical,Numerical
train522,Numerical,Binary
train523,Numerical,Numerical
train524,Binary,Binary
train525,Numerical,Categorical
train526,Numerical,Numerical
train527,Binary,Numerical
train528,Numerical,Numerical
train529,Numerical,Numerical
train530,Binary,Numerical
train531,Categorical,Numerical
train532,Binary,Numerical
train533,Numerical,Numerical
train534,Numerical,Binary
train535,Binary,Numerical
train536,Numerical,Numerical
train537,Binary,Numerical
train538,Numerical,Numerical
train539,Categorical,Categorical
train540,Numerical,Numerical
train541,Numerical,Binary
train542,Numerical,Binary
train543,Numerical,Numerical
train544,Numerical,Numerical
train545,Categorical,Categorical
train546,Numerical,Categorical
train547,Numerical,Binary
train548,Numerical,Numerical
train549,Categorical,Binary
train550,Numerical,Numerical
train551,Numerical,Numerical
train552,Numerical,Numerical
train553,Numerical,Numerical
train554,Binary,Numerical
train555,Numerical,Numerical
train556,Numerical,Numerical
train557,Numerical,Categorical
train558,Numerical,Categorical
train559,Numerical,Categorical
train560,Binary,Binary
train561,Numerical,Numerical
train562,Categorical,Numerical
train563,Numerical,Numerical
train564,Numerical,Numerical
train565,Numerical,Numerical
train566,Categorical,Numerical
train567,Categorical,Numerical
train568,Numerical,Numerical
train569,Numerical,Numerical
train570,Numerical,Numerical
train571,Numerical,Numerical
train572,Numerical,Numerical
train573,Numerical,Categorical
train574,Binary,Numerical
train575,Numerical,Numerical
train576,Numerical,Numerical
train577,Numerical,Numerical
train578,Numerical,Categorical
train579,Numerical,Numerical
train580,Numerical,Numerical
train581,Numerical,Categorical
train582,Numerical,Numerical
train583,Numerical,Numerical
train584,Numerical,Categorical
train585,Numerical,Numerical
train586,Numerical,Numerical
train587,Categorical,Numerical
train588,Numerical,Binary
train589,Numerical,Numerical
train590,Numerical,Categorical
train591,Numerical,Numerical
train592,Numerical,Numerical
train593,Numerical,Numerical
train594,Numerical,Numerical
train595,Categorical,Numerical
train596,Numerical,Numerical
train597,Numerical,Numerical
train598,Binary,Numerical
train599,Numerical,Numerical
train600,Numerical,Numerical
train601,Binary,Binary
train602,Numerical,Numerical
train603,Numerical,Numerical
train604,Numerical,Numerical
train605,Numerical,Numerical
train606,Numerical,Numerical
train607,Numerical,Numerical
train608,Categorical,Binary
train609,Numerical,Categorical
train610,Numerical,Numerical
train611,Numerical,Numerical
train612,Numerical,Numerical
train613,Numerical,Binary
train614,Numerical,Numerical
train615,Binary,Categorical
train616,Numerical,Numerical
train617,Binary,Numerical
train618,Numerical,Numerical
train619,Numerical,Numerical
train620,Binary,Numerical
train621,Numerical,Numerical
train622,Numerical,Numerical
train623,Categorical,Numerical
train624,Numerical,Binary
train625,Numerical,Categorical
train626,Binary,Numerical
train627,Numerical,Numerical
train628,Binary,Numerical
train629,Numerical,Numerical
train630,Numerical,Numerical
train631,Numerical,Numerical
train632,Numerical,Numerical
train633,Numerical,Numerical
train634,Categorical,Numerical
train635,Numerical,Numerical
train636,Numerical,Numerical
train637,Numerical,Numerical
train638,Numerical,Numerical
train639,Numerical,Numerical
train640,Numerical,Categorical
train641,Numerical,Binary
train642,Numerical,Categorical
train643,Numerical,Numerical
train644,Numerical,Numerical
train645,Categorical,Numerical
train646,Categorical,Numerical
train647,Numerical,Categorical
train648,Numerical,Numerical
train649,Binary,Categorical
train650,Numerical,Categorical
train651,Categorical,Numerical
train652,Categorical,Numerical
train653,Numerical,Numerical
train654,Numerical,Numerical
train655,Numerical,Numerical
train656,Numerical,Numerical
train657,Categorical,Numerical
train658,Binary,Numerical
train659,Numerical,Binary
train660,Numerical,Binary
train661,Numerical,Categorical
train662,Numerical,Numerical
train663,Numerical,Numerical
train664,Numerical,Categorical
train665,Numerical,Categorical
train666,Numerical,Numerical
train667,Numerical,Numerical
train668,Numerical,Numerical
train669,Binary,Categorical
train670,Numerical,Numerical
train671,Numerical,Binary
train672,Categorical,Numerical
train673,Binary,Numerical
train674,Numerical,Binary
train675,Categorical,Numerical
train676,Numerical,Numerical
train677,Numerical,Numerical
train678,Categorical,Numerical
train679,Numerical,Binary
train680,Categorical,Numerical
train681,Categorical,Numerical
train682,Numerical,Numerical
train683,Numerical,Numerical
train684,Numerical,Categorical
train685,Numerical,Numerical
train686,Numerical,Numerical
train687,Numerical,Categorical
train688,Categorical,Numerical
train689,Numerical,Numerical
train690,Numerical,Numerical
train691,Numerical,Numerical
train692,Numerical,Binary
train693,Numerical,Numerical
train694,Numerical,Binary
train695,Numerical,Numerical
train696,Numerical,Numerical
train697,Numerical,Numerical
train698,Binary,Numerical
train699,Categorical,Categorical
train700,Numerical,Numerical
train701,Binary,Categorical
train702,Numerical,Numerical
train703,Numerical,Numerical
train704,Categorical,Numerical
train705,Numerical,Categorical
train706,Categorical,Numerical
train707,Numerical,Categorical
train708,Numerical,Numerical
train709,Categorical,Numerical
train710,Binary,Numerical
train711,Numerical,Numerical
train712,Numerical,Numerical
train713,Categorical,Numerical
train714,Numerical,Numerical
train715,Numerical,Numerical
train716,Numerical,Numerical
train717,Numerical,Numerical
train718,Numerical,Numerical
train719,Categorical,Numerical
train720,Numerical,Categorical
train721,Numerical,Numerical
train722,Numerical,Numerical
train723,Numerical,Categorical
train724,Numerical,Numerical
train725,Numerical,Numerical
train726,Numerical,Numerical
train727,Numerical,Numerical
train728,Numerical,Binary
train729,Numerical,Numerical
train730,Numerical,Numerical
train731,Numerical,Numerical
train732,Numerical,Numerical
train733,Numerical,Numerical
train734,Binary,Binary
train735,Numerical,Categorical
train736,Numerical,Numerical
train737,Numerical,Numerical
train738,Numerical,Numerical
train739,Numerical,Categorical
train740,Binary,Numerical
train741,Numerical,Numerical
train742,Numerical,Numerical
train743,Numerical,Numerical
train744,Numerical,Numerical
train745,Numerical,Numerical
train746,Categorical,Binary
train747,Numerical,Numerical
train748,Numerical,Numerical
train749,Numerical,Binary
train750,Numerical,Categorical
train751,Numerical,Numerical
train752,Numerical,Categorical
train753,Binary,Numerical
train754,Numerical,Numerical
train755,Numerical,Categorical
train756,Numerical,Numerical
train757,Numerical,Numerical
train758,Numerical,Binary
train759,Numerical,Numerical
train760,Numerical,Numerical
train761,Numerical,Binary
train762,Numerical,Numerical
train763,Numerical,Numerical
train764,Numerical,Numerical
train765,Binary,Binary
train766,Numerical,Binary
train767,Numerical,Categorical
train768,Numerical,Numerical
train769,Binary,Numerical
train770,Numerical,Numerical
train771,Numerical,Numerical
train772,Numerical,Numerical
train773,Categorical,Numerical
train774,Numerical,Numerical
train775,Numerical,Numerical
train776,Numerical,Numerical
train777,Binary,Binary
train778,Numerical,Binary
train779,Binary,Numerical
train780,Binary,Numerical
train781,Categorical,Numerical
train782,Numerical,Numerical
train783,Numerical,Numerical
train784,Numerical,Numerical
train785,Categorical,Numerical
train786,Numerical,Categorical
train787,Numerical,Numerical
train788,Numerical,Categorical
train789,Binary,Numerical
train790,Numerical,Binary
train791,Binary,Categorical
train792,Numerical,Numerical
train793,Numerical,Numerical
train794,Numerical,Numerical
train795,Numerical,Numerical
train796,Numerical,Numerical
train797,Binary,Numerical
train798,Numerical,Categorical
train799,Numerical,Numerical
train800,Binary,Numerical
train801,Categorical,Numerical
train802,Numerical,Categorical
train803,Numerical,Numerical
train804,Categorical,Numerical
train805,Numerical,Numerical
train806,Categorical,Categorical
train807,Numerical,Binary
train808,Numerical,Numerical
train809,Numerical,Numerical
train810,Numerical,Numerical
train811,Categorical,Numerical
train812,Numerical,Numerical
train813,Binary,Numerical
train814,Binary,Binary
train815,Numerical,Numerical
train816,Categorical,Binary
train817,Numerical,Binary
train818,Numerical,Numerical
train819,Categorical,Numerical
train820,Numerical,Numerical
train821,Numerical,Numerical
train822,Numerical,Numerical
train823,Numerical,Numerical
train824,Numerical,Numerical
train825,Numerical,Binary
train826,Binary,Numerical
train827,Numerical,Numerical
train828,Numerical,Numerical
train829,Numerical,Numerical
train830,Categorical,Numerical
train831,Numerical,Numerical
train832,Binary,Categorical
train833,Binary,Numerical
train834,Categorical,Binary
train835,Numerical,Numerical
train836,Numerical,Numerical
train837,Numerical,Binary
train838,Numerical,Numerical
train839,Numerical,Numerical
train840,Numerical,Numerical
train841,Numerical,Numerical
train842,Numerical,Numerical
train843,Numerical,Numerical
train844,Numerical,Binary
train845,Numerical,Numerical
train846,Numerical,Numerical
train847,Numerical,Numerical
train848,Categorical,Numerical
train849,Categorical,Binary
train850,Numerical,Numerical
train851,Numerical,Numerical
train852,Numerical,Binary
train853,Numerical,Binary
train854,Numerical,Numerical
train855,Numerical,Binary
train856,Binary,Categorical
train857,Numerical,Numerical
train858,Numerical,Numerical
train859,Numerical,Numerical
train860,Numerical,Numerical
train861,Numerical,Categorical
train862,Numerical,Numerical
train863,Numerical,Numerical
train864,Binary,Numerical
train865,Numerical,Numerical
train866,Numerical,Numerical
train867,Binary,Numerical
train868,Numerical,Numerical
train869,Categorical,Numerical
train870,Numerical,Numerical
train871,Numerical,Numerical
train872,Numerical,Binary
train873,Binary,Numerical
train874,Numerical,Numerical
train875,Numerical,Numerical
train876,Binary,Numerical
train877,Categorical,Categorical
train878,Numerical,Numerical
train879,Numerical,Numerical
train880,Numerical,Numerical
train881,Numerical,Numerical
train882,Numerical,Numerical
train883,Numerical,Numerical
train884,Categorical,Categorical
train885,Numerical,Categorical
train886,Numerical,Numerical
train887,Numerical,Numerical
train888,Numerical,Binary
train889,Numerical,Binary
train890,Numerical,Numerical
train891,Numerical,Numerical
train892,Numerical,Numerical
train893,Numerical,Numerical
train894,Numerical,Numerical
train895,Numerical,Categorical
train896,Categorical,Numerical
train897,Numerical,Binary
train898,Numerical,Numerical
train899,Numerical,Numerical
train900,Numerical,Numerical
train901,Numerical,Binary
train902,Numerical,Categorical
train903,Numerical,Numerical
train904,Numerical,Numerical
train905,Numerical,Binary
train906,Categorical,Binary
train907,Numerical,Numerical
train908,Numerical,Binary
train909,Numerical,Numerical
train910,Binary,Numerical
train911,Numerical,Numerical
train912,Numerical,Categorical
train913,Numerical,Numerical
train914,Numerical,Categorical
train915,Numerical,Categorical
train916,Numerical,Categorical
train917,Categorical,Numerical
train918,Numerical,Numerical
train919,Numerical,Binary
train920,Numerical,Categorical
train921,Categorical,Numerical
train922,Numerical,Binary
train923,Numerical,Numerical
train924,Numerical,Numerical
train925,Numerical,Categorical
train926,Numerical,Numerical
train927,Numerical,Binary
train928,Categorical,Numerical
train929,Numerical,Numerical
train930,Numerical,Numerical
train931,Numerical,Numerical
train932,Numerical,Numerical
train933,Numerical,Binary
train934,Numerical,Numerical
train935,Numerical,Categorical
train936,Binary,Numerical
train937,Numerical,Binary
train938,Numerical,Numerical
train939,Categorical,Numerical
train940,Numerical,Binary
train941,Numerical,Numerical
train942,Numerical,Numerical
train943,Categorical,Numerical
train944,Numerical,Numerical
train945,Numerical,Binary
train946,Categorical,Binary
train947,Numerical,Categorical
train948,Binary,Categorical
train949,Numerical,Numerical
train950,Numerical,Numerical
train951,Numerical,Numerical
train952,Numerical,Numerical
train953,Numerical,Binary
train954,Numerical,Categorical
train955,Numerical,Numerical
train956,Numerical,Numerical
train957,Numerical,Numerical
train958,Categorical,Numerical
train959,Categorical,Numerical
train960,Binary,Numerical
train961,Numerical,Numerical
train962,Numerical,Numerical
train963,Binary,Binary
train964,Numerical,Numerical
train965,Categorical,Numerical
train966,Categorical,Categorical
train967,Numerical,Categorical
train968,Numerical,Numerical
train969,Numerical,Binary
train970,Categorical,Categorical
train971,Categorical,Binary
train972,Numerical,Numerical
train973,Numerical,Numerical
train974,Numerical,Numerical
train975,Numerical,Numerical
train976,Binary,Numerical
train977,Numerical,Numerical
train978,Numerical,Numerical
train979,Numerical,Categorical
train980,Numerical,Numerical
train981,Binary,Numerical
train982,Numerical,Numerical
train983,Numerical,Numerical
train984,Numerical,Numerical
train985,Binary,Numerical
train986,Numerical,Numerical
train987,Numerical,Numerical
train988,Numerical,Numerical
train989,Numerical,Numerical
train990,Numerical,Numerical
train991,Categorical,Numerical
train992,Binary,Numerical
train993,Binary,Numerical
train994,Numerical,Numerical
train995,Categorical,Numerical
train996,Categorical,Numerical
train997,Numerical,Binary
train998,Numerical,Binary
train999,Numerical,Numerical
train1000,Binary,Numerical
train1001,Numerical,Numerical
train1002,Numerical,Numerical
train1003,Numerical,Numerical
train1004,Numerical,Numerical
train1005,Categorical,Binary
train1006,Binary,Numerical
train1007,Numerical,Numerical
train1008,Numerical,Numerical
train1009,Binary,Numerical
train1010,Binary,Numerical
train1011,Binary,Numerical
train1012,Numerical,Numerical
train1013,Numerical,Numerical
train1014,Numerical,Numerical
train1015,Numerical,Binary
train1016,Numerical,Binary
train1017,Numerical,Numerical
train1018,Numerical,Numerical
train1019,Numerical,Numerical
train1020,Categorical,Numerical
train1021,Numerical,Numerical
train1022,Categorical,Numerical
train1023,Numerical,Numerical
train1024,Numerical,Numerical
train1025,Numerical,Numerical
train1026,Numerical,Numerical
train1027,Numerical,Numerical
train1028,Numerical,Binary
train1029,Categorical,Numerical
train1030,Numerical,Numerical
train1031,Numerical,Numerical
train1032,Numerical,Numerical
train1033,Numerical,Numerical
train1034,Numerical,Numerical
train1035,Numerical,Numerical
train1036,Numerical,Binary
train1037,Numerical,Numerical
train1038,Categorical,Numerical
train1039,Numerical,Numerical
train1040,Numerical,Numerical
train1041,Categorical,Numerical
train1042,Numerical,Numerical
train1043,Binary,Numerical
train1044,Numerical,Numerical
train1045,Binary,Numerical
train1046,Numerical,Numerical
train1047,Numerical,Numerical
train1048,Numerical,Binary
train1049,Numerical,Numerical
train1050,Numerical,Numerical
train1051,Numerical,Numerical
train1052,Numerical,Numerical
train1053,Binary,Binary
train1054,Numerical,Numerical
train1055,Categorical,Numerical
train1056,Numerical,Numerical
train1057,Binary,Numerical
train1058,Numerical,Numerical
train1059,Numerical,Numerical
train1060,Categorical,Numerical
train1061,Categorical,Numerical
train1062,Numerical,Categorical
train1063,Numerical,Numerical
train1064,Binary,Numerical
train1065,Numerical,Numerical
train1066,Binary,Categorical
train1067,Categorical,Numerical
train1068,Binary,Numerical
train1069,Numerical,Numerical
train1070,Numerical,Numerical
train1071,Binary,Binary
train1072,Numerical,Binary
train1073,Numerical,Numerical
train1074,Numerical,Numerical
train1075,Numerical,Numerical
train1076,Numerical,Numerical
train1077,Numerical,Numerical
train1078,Binary,Numerical
train1079,Numerical,Categorical
train1080,Binary,Categorical
train1081,Numerical,Numerical
train1082,Numerical,Numerical
train1083,Categorical,Numerical
train1084,Numerical,Binary
train1085,Numerical,Numerical
train1086,Numerical,Binary
train1087,Numerical,Numerical
train1088,Numerical,Numerical
train1089,Numerical,Numerical
